Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88
SRR5264037_1 - nextera_transposase_sequence	1.63992594313e-05	1.63992594313e-05	2.73320990522e-05	6.55970377252e-05	0.000836362230997	0.00102768692436	0.0215814254116	0.0287970995614	0.0880530903065	0.176559893457	0.303596756642	0.416051944982	0.526599352809	0.622928602708	0.708568268668	0.779383004103	0.859233731484	0.920143314221	1.0121076279	1.1672118236	1.45246327536	1.76689994249	2.21506983707	2.93251557151	3.76221696996	4.61208125789	5.52153225497	6.47150308888	7.42698954039	8.3882157327	9.34520818286	10.3118925953	11.3109764781	12.3235022871	13.3293918624	14.3302468652	15.3350568226	16.3657038133	17.4140756702	18.4606026105	19.502524092	20.5472908451	21.6066775379	22.6716591114	23.7334838275	24.7791798719	25.8249688455	26.8842653424	27.9409598235
SRR5264037_2 - nextera_transposase_sequence	1.63992594313e-05	1.63992594313e-05	3.82649386731e-05	7.10634575357e-05	0.000841828650807	0.00103315334417	0.0213190372607	0.0284691143728	0.0875939110424	0.175551339002	0.302175487491	0.41324493841	0.519107624458	0.59892828653	0.669417769986	0.722996883758	0.797323793921	0.850085677931	0.937608525516	1.08505426706	1.36840067152	1.67954382071	2.12808269862	2.84462647379	3.67446453275	4.52300048066	5.43271933231	6.38314114586	7.33861939773	8.30105913524	9.25994296666	10.2286690869	11.2303604519	12.2442391998	13.2510143352	14.2508990484	15.2538832216	16.2826360979	17.328744857	18.3731016286	19.4127873444	20.4537959338	21.5084186418	22.5677807358	23.6238356457	24.6635760258	25.7021001274	26.7543422096	27.8036980221
SRR5264040_1 - nextera_transposase_sequence	2.16152063842e-05	2.88202751789e-05	2.88202751789e-05	2.88202751789e-05	0.000252177407815	0.000353048370941	0.010389709202	0.0138193219483	0.0545495758448	0.118717918531	0.21493800975	0.303722469973	0.390601189499	0.467320762025	0.534659334981	0.588607287581	0.651013990947	0.697209289524	0.749377590132	0.800475938024	0.875426666161	0.948338359829	1.04715587835	1.19106271739	1.35716477084	1.52251749715	1.70795795525	1.90491931836	2.11076453129	2.31925040193	2.53594644847	2.76499558545	3.00937710883	3.2668178194	3.53372599037	3.811910094	4.1070261093	4.42198128152	4.75409172254	5.10458229406	5.4659777372	5.8491108729	6.2567844729	6.68285261355	7.13416011017	7.59633285055	8.07973172359	8.59201211489	9.12651293836
SRR5264040_2 - nextera_transposase_sequence	1.44101375894e-05	1.44101375894e-05	1.44101375894e-05	1.44101375894e-05	0.000230562201431	0.000324228095762	0.0102456078261	0.0136103749532	0.0538939145845	0.117665978487	0.21392209505	0.301042184381	0.383500594202	0.446260345938	0.500673025476	0.540765630784	0.598589910396	0.637400013459	0.68512999169	0.730132851381	0.803689398707	0.87381993582	0.9718268841	1.11329480735	1.27842777906	1.44206209645	1.62722155687	1.82391633244	2.0293040235	2.23776107387	2.45538657428	2.68522826883	2.9303735295	3.18825014673	3.45554378888	3.73349733031	4.02814501613	4.34280478053	4.67455496812	5.0244763392	5.38524494136	5.76698389624	6.17283461384	6.59642421082	7.04539726516	7.50512028214	7.98556507697	8.49547500064	9.02688124706
SRR5264043_1 - nextera_transposase_sequence	3.41886887407e-05	4.7864164237e-05	7.52151152296e-05	0.000116241541718	0.00177781181452	0.00229064214563	0.0529104146951	0.0714543594681	0.224906870012	0.456572843788	0.786664633579	1.07309404898	1.34936258609	1.58989026798	1.80543627502	1.97709426232	2.17590490621	2.31731274171	2.48625272826	2.66984940566	2.95645318338	3.2547426549	3.65213829735	4.24471374495	4.94541433956	5.66391014666	6.43277956775	7.23239487662	8.04221209021	8.84878479725	9.65938151295	10.4748261847	11.3221142012	12.1828999119	13.0469335481	13.9151518798	14.8003790842	15.7079212457	16.6313816606	17.5638952404	18.5001319683	19.4480407146	20.41242499	21.3869051852	22.3659632458	23.3492777981	24.3367565328	25.3411278985	26.3391299115
SRR5264043_2 - nextera_transposase_sequence	3.41886887407e-05	5.47019019851e-05	7.52151152296e-05	0.00010940380397	0.00176413633902	0.00229064214563	0.0525822032832	0.0708936649727	0.223293163903	0.453512956145	0.782456005995	1.06503919391	1.3290955314	1.52758138275	1.7021556652	1.83028803286	2.01329324596	2.13488531746	2.29386955784	2.46008128703	2.74458246038	3.03457433715	3.43123834166	4.01999491272	4.72057584692	5.4375468385	6.20654275774	7.0061272968	7.8156470688	8.62318389685	9.43654989634	10.2548937689	11.1041852425	11.9661162744	12.8312302731	13.6985426046	14.5825390161	15.488846966	16.4106218786	17.3412482427	18.2759430608	19.220750893	20.180635937	21.1498681684	22.1228987632	23.1000183251	24.0808644542	25.078558769	26.069757233
SRR5264054_1 - nextera_transposase_sequence	0.0	0.0	6.58139590749e-06	1.97441877225e-05	0.000427790733987	0.000506767484877	0.0101221869057	0.0136432337162	0.0451681201131	0.0916360659179	0.157318397075	0.208110319991	0.257608998611	0.306528514391	0.351041785612	0.392274230972	0.432275955298	0.465702865112	0.507544089594	0.582878037849	0.726625596562	0.89270383159	1.13882829434	1.55528257388	2.05271763936	2.5542430424	3.10142687954	3.68191916137	4.28063861917	4.8953969388	5.52244272458	6.1579554762	6.82149839299	7.51396325409	8.21271334829	8.91495816371	9.6277101777	10.3665969148	11.1319277007	11.9227449423	12.7020743573	13.4832860515	14.2812605611	15.0890545134	15.9159312231	16.7424295026	17.5719124451	18.4161113888	19.2627520304
SRR5264054_2 - nextera_transposase_sequence	0.0	0.0	0.0	1.97441877225e-05	0.000408046546264	0.000487023297154	0.00999055898757	0.0134655360267	0.04481930613	0.0910865193597	0.156788594704	0.206886180352	0.253426521512	0.297140153129	0.345273192099	0.378292055367	0.417882442448	0.448749189254	0.491959344085	0.562821233821	0.707996955446	0.872844469439	1.11947569968	1.53330729294	2.02876464895	2.52704871451	3.07349543531	3.65328350778	4.25082489571	4.86555030835	5.49268823368	6.12850372951	6.79218485562	7.48415282133	8.18243563642	8.88368995176	9.59472751211	10.3315641444	11.0948184999	11.8835198227	12.661167691	13.4394243385	14.233956778	15.0380092067	15.8601440207	16.6819695091	17.505509451	18.3436502199	19.1841339656
SRR5264057_1 - nextera_transposase_sequence	9.90352579383e-06	9.90352579383e-06	2.97105773815e-05	2.97105773815e-05	0.00118842309526	0.00157466060122	0.0355041399709	0.0470120369433	0.177570217483	0.385484837999	0.697614260443	0.984464933299	1.26781966155	1.51854227231	1.74233224467	1.92638431979	2.13843861408	2.29584030129	2.47174177468	2.62961883112	2.83682039778	3.02340282373	3.25330327151	3.53451883819	3.8564626547	4.16957252619	4.51228898805	4.86524074382	5.23589010018	5.60788633605	5.98933053552	6.37446379835	6.79059509692	7.21793718669	7.65506395994	8.10418885469	8.5769287067	9.07647245126	9.60113153724	10.1472565154	10.7037752438	11.2878950987	11.9029585199	12.5352491242	13.189416617	13.8663176532	14.5639913348	15.2881916102	16.0268460816
