Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR5264037_1	0.223412577653	0.435307408764
SRR5264037_2	0.19781333368	0.209281882443
SRR5264040_1	0.192252850649	0.378424623236
SRR5264040_2	0.172669473665	0.164801538542
SRR5264043_1	0.252462953137	1.11367602252
SRR5264043_2	0.225406024867	1.02027936261
SRR5264054_1	0.149805733646	0.0
SRR5264054_2	0.130719685515	0.0
SRR5264057_1	0.565412094621	1.55371464417
SRR5264057_2	0.517657293244	1.39252485834
SRR5264060_1	0.195261393168	0.332360149484
SRR5264060_2	0.18095042576	0.216647387262
SRR5264067_1	0.593962602977	2.0885833727
SRR5264067_2	0.573931182773	2.03461996643
SRR5264070_1	0.172054816497	0.389696936114
SRR5264070_2	0.175782620342	0.273786482407
SRR5264073_1	1.26287756047	5.16950388918
SRR5264073_2	1.32778686406	3.41275508768
